stt,unnamed_1,so_bien_nhan,ngay_nhan,ngay_tra,ten_cong_tydoanh_nghiep,đia_chi,phuong_xa,quan_huyen,ten_san_pham,ten_co_so_sx,đia_chi_sx,phuong_sx,quan_huyen_sx,so_ban_cong_bo,ngay_hoan_thanh,ket_qua,tinh_thanh
1,,4042225373.0,2023-02-03,2023-02-14,CÔNG TY TNHH TUỆ ANH GLOBAL,231-233 Lê Thánh Tôn,Bến Thành,1,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 0 THÁNG TUỔI ĐẾN 12 THÁNG TUỔI OPTIMOM,,"Số 31 đường 121, Ấp 5",Tân Thạnh Đông,Củ Chi,1,2023-02-08,Đạt,Ho Chi Minh
2,,,2023-02-02,2023-02-13,CÔNG TY CỔ PHẦN THỰC PHẨM DINH DƯỠNG KHÁNH HÒA,"Tầng 10, Tòa nhà Hoàng Việt, Số 34 Hoàng Việt",4,Tân Bình,SẢN PHẨM DINH DƯỠNG NUTRIKIDGROW (CHO TRẺ TỪ 1 - 10 TUỔI),,"Lô E, Đường số 2, Khu công nghiệp Đồng An",Bình Hòa,"Thành phố Thuận An, tỉnh Bình Dương",2,2023-02-08,Đạt,Ho Chi Minh
3,,4042227037.0,2023-02-06,2023-02-15,CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI HI KI FOOD,"621/2/14 Khu phố 7, Hương lộ 2",Bình Trị Đông,Bình Tân,SẢN PHẨM DINH DƯỠNG CÔNG THỨC: GAIN COLOSTRUM 1+,,621/4/1/4 Hương lộ 2,Bình Trị Đông,Bình Tân,3,2023-02-09,Đạt,Ho Chi Minh
4,,4042227078.0,2023-02-27,2023-03-08,CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,84E Nguyễn Đình Chiểu,Đa Kao ,1,SẢN PHẨM BÁNH ĂN DẶM PAPAPUFFS STARS,,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,4,2023-03-03,,Ho Chi Minh
5,,4042227076.0,2023-02-27,2023-03-08,CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,84E Nguyễn Đình Chiểu,Đa Kao ,1,SẢN PHẨM BÁNH ĂN DẶM PAPAPUFFS RINGS,,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,5,2023-03-03,,Ho Chi Minh
6,,4042227075.0,2023-02-27,2023-03-08,CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,84E Nguyễn Đình Chiểu,Đa Kao ,1,SẢN PHẨM BÁNH ĂN DẶM PAPAPUFFS FINGERS,,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,6,2023-03-03,,Ho Chi Minh
7,,,2023-02-24,2023-03-07,CÔNG TY TNHH NOVA NUTRITION PHARMA,"Số 496/63, Lã Xuân Oai",Long Trường,Thủ Đức,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 1-10 TUỔI MENDEL COLOSTRUM PEDIA,,"Số 496/63, Lã Xuân Oai",Long Trường,Thủ Đức,7,2023-03-03,,Ho Chi Minh
8,,,2023-02-27,2023-03-08,CÔNG TY TNHH NOVA NUTRITION PHARMA,"Số 496/63, Lã Xuân Oai",Long Trường,Thủ Đức,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 1-15 TUỔI MENDEL COLOSTRUM GROW,,"Số 496/63, Lã Xuân Oai",Long Trường,Thủ Đức,8,2023-03-03,,Ho Chi Minh
9,,,2023-02-27,2023-03-08,CÔNG TY TNHH NOVA NUTRITION PHARMA,"Số 496/63, Lã Xuân Oai",Long Trường,Thủ Đức,SẢN PHẨM DINH DƯỠNG CÔNG THỨC CHO TRẺ TỪ 0-12 THÁNG TUỔI MENDEL COLOSTRUM INFANT,,"Số 496/63, Lã Xuân Oai",Long Trường,Thủ Đức,9,2023-03-03,,Ho Chi Minh
10,,,2023-02-28,2023-03-09,CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG XNK ADP GOLD,"476 Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,SẢN PHẨM DINH DƯỠNG CÔNG THỨC NOLAN KIDS BABY CHO TRẺ TỪ 0-12 THÁNG TUỔI,,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,10,2023-03-03,,Ho Chi Minh
11,,,2023-02-28,2023-03-09,CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG XNK ADP GOLD,"476 Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,SẢN PHẨM DINH DƯỠNG CÔNG THỨC NOLAN KIDS GAIN CHO TRẺ TỪ 1 TUỔI TRỞ LÊN,,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,11,2023-03-03,,Ho Chi Minh
12,,,2023-02-28,2023-03-09,CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG XNK ADP GOLD,"476 Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,SẢN PHẨM DINH DƯỠNG CÔNG THỨC NOLAN KIDS PEDIA CHO TRẺ TỪ 1 - 10 TUỔI,,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,12,2023-03-03,,Ho Chi Minh
13,,,2023-03-03,2023-03-14,CÔNG TY CỔ PHẦN SẢN XUẤT THỰC PHẨM ANH KIM,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,THỰC PHẨM DINH DƯỠNG CHÁO TƯƠI BỒ CÂU ĐẬU LĂNG CHÙM NGÂY,,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,13,2023-03-07,,Ho Chi Minh
14,,,2023-03-03,2023-03-14,CÔNG TY CỔ PHẦN SẢN XUẤT THỰC PHẨM ANH KIM,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,THỰC PHẨM DINH DƯỠNG CHÁO TƯƠI CÁ NGỪ ĐẠI DƯƠNG,,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,14,2023-03-07,,Ho Chi Minh
15,,,2023-03-03,2023-03-14,CÔNG TY CỔ PHẦN SẢN XUẤT THỰC PHẨM ANH KIM,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,THỰC PHẨM DINH DƯỠNG CHÁO TƯƠI HÀU CẢI BÓ XÔI,,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,15,2023-03-07,,Ho Chi Minh
16,,,2023-03-03,2023-03-14,CÔNG TY CỔ PHẦN SẢN XUẤT THỰC PHẨM ANH KIM,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,THỰC PHẨM DINH DƯỠNG CHÁO TƯƠI TIM HEO HẠT SEN,,"Lô III - 1B, Đường số 1, Nhóm CN III, KCN Tân Bình",Tây Thạnh ,Tân Phú,16,2023-03-07,,Ho Chi Minh
17,,,2023-03-09,2023-03-20,CÔNG TY TNHH THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG XNK ADP GOLD,"476 Nguyễn Văn Khạ, Ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,SẢN PHẨM DINH DƯỠNG CÔNG THỨC NOLAN KIDS GROW IQ CHO TRẺ TỪ 1-12 TUỔI,,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,17,2023-03-14,,Ho Chi Minh
18,,,2023-03-15,2023-03-24,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DÀNH CHO TRẺ TỪ 1 - 10 TUỔI FOODPRO 100 COLOSTRUM PEDIA,,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,18,2023-03-21,,Ho Chi Minh
19,,4042226879.0,2023-03-16,2023-03-27,CÔNG TY CỔ PHẦN SẢN XUẤT - XUẤT NHẬP KHẨU THỰC PHẨM SÀI GÒN,37/9B Đường Quang Trung,10,Gò Vấp,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DÀNH CHO TRẺ TỪ 1 - 12 TUỔI: ELLAC GROW 1+,,"Tổ 7, Ấp Bến Đò 2",Tân Phú Trung,Củ Chi,19,2023-03-21,,Ho Chi Minh
20,,,2023-03-22,2023-03-31,CÔNG TY CỔ PHẦN SÀI GÒN MILK,52D Trần Thủ Độ,Phú Thạnh,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC DÀNH CHO TRẺ TỪ 0-12 THÁNG TUỔI OPTI KIDS MEDISURE,,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,20,2023-03-28,,Ho Chi Minh
21,,,2023-03-22,2023-03-31,CÔNG TY CỔ PHẦN SÀI GÒN MILK,52D Trần Thủ Độ,Phú Thạnh,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC VỚI MỤC ĐÍCH ĂN BỔ SUNG DÀNH CHO TRẺ TỪ 01-17 TUỔI GROW MEDISURE,,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,21,2023-03-28,,Ho Chi Minh
22,,,2023-03-22,2023-03-31,CÔNG TY CỔ PHẦN SÀI GÒN MILK,52D Trần Thủ Độ,Phú Thạnh,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC VỚI MỤC ĐÍCH ĂN BỔ SUNG DÀNH CHO TRẺ TỪ 01-15 TUỔI OPTI KIDS 3 MEDISURE,,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,22,2023-03-28,,Ho Chi Minh
23,,,2023-03-22,2023-03-31,CÔNG TY CỔ PHẦN SÀI GÒN MILK,52D Trần Thủ Độ,Phú Thạnh,Tân Phú,SẢN PHẨM DINH DƯỠNG CÔNG THỨC VỚI MỤC ĐÍCH ĂN BỔ SUNG DÀNH CHO TRẺ TỪ 06-36 TUỔI OPTI KIDS 2 MEDISURE,,"416 Nguyễn Thị Lắng, Ấp 1",Phước Vĩnh An,Củ Chi,23,2023-03-28,,Ho Chi Minh
24,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC OLIVIA BABY,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,24,2023-04-07,,Ho Chi Minh
25,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC OLIVIA PEDIA,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,25,2023-04-07,,Ho Chi Minh
26,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC OLIVIA KAO IQ,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,26,2023-04-07,,Ho Chi Minh
27,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ADELAC BABY GOLD,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,27,2023-04-07,,Ho Chi Minh
28,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ADELAC PEDIA+,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,28,2023-04-07,,Ho Chi Minh
29,,,2023-04-04,2023-04-13,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ WINCARE FOOD,1366/9/3 Quốc lộ 1A,Thới An,12,SẢN PHẨM DINH DƯỠNG CÔNG THỨC ADELAC KAO IQ,,"Số 20 Đường 417, Tổ 6, Ấp 5",Phước Vĩnh An,Củ Chi,29,2023-04-07,,Ho Chi Minh
30,,,2023-04-05,2023-04-17,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ LÊ MÂY,"10 Đường 23, Khu phố 2",An Khánh,Thủ Đức,SẢN PHẨM MÌ BABY SOMEN 5 VỊ NGŨ CỐC - BABY SOMEN 5 MIXED GRAIN,,920 Higashinango,Minami-Alps City,"Yamanashi, Nhật Bản",30,2023-04-07,,Ho Chi Minh
