stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,tpphuongxathi_xathi_tran,quan_huyen,so_gcn_đkkd,loai_hinh_kinh_doanh,so_gcn_cap_moi_nhat,ngay_cap_moi_nhat,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap,chuyen_vien_thu_ly,tinh_thanh
1,,YT,4042226949.0,2022-12-19,2023-01-17,,WAYNE'S VIỄN ĐÔNG,ĐINH NGUYÊN DŨNG,Tầng trệt (khu vực quầy bar) Khách sạn Viễn Đông - 275A Phạm Ngũ Lão,Phạm Ngũ Lão,1,,Kinh doanh dịch vụ ăn uống,1,2023-01-03,,,,,,Ho Chi Minh
2,,YT,4042226934.0,2022-12-16,2023-01-16,,CÔNG TY CỔ PHẦN BỆNH VIỆN PHỤ SẢN QUỐC TẾ SÀI GÒN,TRẦN TÚ LIÊN,63 Bùi Thị Xuân,Phạm Ngũ Lão,1,,Kinh doanh dịch vụ ăn uống,2,2023-01-03,,,,,,Ho Chi Minh
3,,YT,4042226622.0,2022-12-27,2023-02-01,,CỬA HÀNG SỐ 34 - CÔNG TY TNHH BÁNH NGỌT CJ VIỆT NAM,KIM JAE YOUNG,Số 201 Khánh Hội,3,4,,Kinh doanh dịch vụ ăn uống,3,2023-01-03,,,,,,Ho Chi Minh
4,,YT,4042226844.0,2022-12-15,2023-01-13,,ĐỊA ĐIỂM KINH DOANH SỐ 24 - CHI NHÁNH TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TACO VIỆT NAM,TRƯƠNG THỊ THANH HUYỀN,491/10 Nguyễn Văn Công,3,Gò Vấp,,Kinh doanh dịch vụ ăn uống,4,2023-01-03,,,,,,Ho Chi Minh
5,,YT,4042227009.0,2022-12-19,2023-01-17,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH 89 HOME,NGUYỄN PHẠM ÁNH NGUYỆT,Quầy RGD 2 tầng trệt- Trung tâm thương mại Aeon - số 30 Tân Thắng,Sơn Kỳ,Tân Phú,,Kinh doanh dịch vụ ăn uống,5,2023-01-03,,,,,,Ho Chi Minh
6,,YT,,2023-12-16,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH DVKD THANH ĐẠM - NHÀ HÀNG SABOR TAPAS BAR,TRẦN THANH THẢO,114/1 - 114/2 Yersin,Nguyễn Thái Bình,1,,Kinh doanh dịch vụ ăn uống,6,2023-01-03,,,,,,Ho Chi Minh
7,,YT,,2023-12-16,2023-01-30,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN ORC COFFEE PASSION GROUP – AMZ_063ĐTH,NGUYỄN HUỲNH KHOA,63 Đinh Tiên Hoàng,Đa Kao,1,,Kinh doanh dịch vụ ăn uống,7,2023-01-03,,,,,,Ho Chi Minh
8,,NN,,2022-12-15,2023-01-16,,CÔNG TY TNHH MỘT THÀNH VIÊN HOÀNG NÉT,,425/7 Nguyễn Oanh,17,Gò Vấp,313131057.0,"Rang, xay, đóng gói cà phê",8,2023-01-03,,,,,,Ho Chi Minh
9,,YT,,2022-12-16,2023-01-30,,CHI NHÁNH 1 CÔNG TY TNHH DỊCH VỤ DU LỊCH DÃ NGOẠI,PHAN CHÍ NGHĨA,1 phần căn nhà số 353 Thống Nhất,11,Gò Vấp,,Kinh doanh dịch vụ ăn uống,9,2023-01-03,,,,,,Ho Chi Minh
10,,NN,,2022-12-16,2023-01-16,,ĐỊA ĐIỂM KINH DOANH SỐ 14 - KLEVER FRUIT - CHI NHÁNH TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ K.L.E.V.E,,449 Phan Văn Trị,5,Gò Vấp,,Kinh doanh trái cây,10,2023-01-03,,,,,,Ho Chi Minh
