phuong_xa,period_month,attp_cert_issued_count,certified_facility_count,attp_valid_count,processing_time_p50,processing_time_p90,facility_count,certified_facility_rate
1,2022-11,,,,60.0,60.0,65,
1,2023-01,3.0,3.0,3.0,,,65,0.046153846153846156
1,2023-02,,,,60.0,60.0,65,
1,2023-03,,,,60.0,60.0,65,
1,2023-04,1.0,1.0,1.0,60.0,60.0,65,0.015384615384615385
1,2023-05,2.0,3.0,3.0,,,65,0.046153846153846156
1,2023-06,2.0,2.0,2.0,60.0,60.0,65,0.03076923076923077
1,2023-07,,,,60.0,60.0,65,
1,2023-08,1.0,1.0,1.0,60.0,60.0,65,0.015384615384615385
1,2023-09,1.0,1.0,1.0,,,65,0.015384615384615385
1,2023-10,2.0,2.0,2.0,,,65,0.03076923076923077
10,2022-11,,,,60.0,60.0,100,
10,2022-12,,,,60.0,60.0,100,
10,2023-01,1.0,3.0,3.0,60.0,60.0,100,0.03
10,2023-02,1.0,2.0,2.0,60.0,60.0,100,0.02
10,2023-03,2.0,2.0,2.0,60.0,60.0,100,0.02
10,2023-04,1.0,1.0,1.0,,,100,0.01
10,2023-05,2.0,2.0,2.0,,,100,0.02
10,2023-07,,,,60.0,60.0,100,
10,2023-08,1.0,1.0,1.0,60.0,60.0,100,0.01
10,2023-09,1.0,1.0,1.0,60.0,60.0,100,0.01
10,2023-10,1.0,1.0,1.0,60.0,60.0,100,0.01
10,2023-11,2.0,2.0,2.0,,,100,0.02
10,2023-12,3.0,3.0,3.0,,,100,0.03
11,2022-11,,,,60.0,60.0,108,
11,2022-12,,,,60.0,60.0,108,
11,2023-01,2.0,2.0,2.0,60.0,60.0,108,0.018518518518518517
11,2023-02,2.0,2.0,2.0,,,108,0.018518518518518517
11,2023-03,1.0,1.0,1.0,,,108,0.009259259259259259
11,2023-06,,,,60.0,60.0,108,
11,2023-07,1.0,1.0,1.0,60.0,60.0,108,0.009259259259259259
11,2023-08,1.0,1.0,1.0,60.0,60.0,108,0.009259259259259259
11,2023-09,2.0,2.0,2.0,60.0,60.0,108,0.018518518518518517
11,2023-10,3.0,4.0,4.0,60.0,60.0,108,0.037037037037037035
11,2023-11,2.0,2.0,2.0,,,108,0.018518518518518517
11,2023-12,1.0,2.0,2.0,,,108,0.018518518518518517
12,2022-11,,,,60.0,60.0,195,
12,2022-12,,,,60.0,60.0,195,
12,2023-01,5.0,5.0,5.0,60.0,60.0,195,0.02564102564102564
12,2023-02,2.0,2.0,2.0,60.0,60.0,195,0.010256410256410256
12,2023-03,2.0,2.0,2.0,60.0,60.0,195,0.010256410256410256
12,2023-04,1.0,1.0,1.0,60.0,60.0,195,0.005128205128205128
12,2023-05,3.0,3.0,3.0,60.0,60.0,195,0.015384615384615385
12,2023-06,3.0,3.0,3.0,,,195,0.015384615384615385
12,2023-07,1.0,1.0,1.0,60.0,60.0,195,0.005128205128205128
12,2023-08,1.0,1.0,1.0,60.0,60.0,195,0.005128205128205128
12,2023-09,3.0,3.0,3.0,60.0,60.0,195,0.015384615384615385
12,2023-10,3.0,3.0,3.0,60.0,60.0,195,0.015384615384615385
12,2023-11,4.0,3.0,4.0,,,195,0.020512820512820513
12,2023-12,3.0,3.0,3.0,,,195,0.015384615384615385
13,2022-11,,,,60.0,60.0,119,
13,2022-12,,,,60.0,60.0,119,
13,2023-01,4.0,5.0,5.0,60.0,60.0,119,0.04201680672268908
13,2023-02,1.0,1.0,1.0,60.0,60.0,119,0.008403361344537815
13,2023-03,1.0,1.0,1.0,60.0,60.0,119,0.008403361344537815
13,2023-04,2.0,2.0,2.0,60.0,60.0,119,0.01680672268907563
13,2023-05,3.0,3.0,3.0,60.0,60.0,119,0.025210084033613446
13,2023-06,3.0,4.0,4.0,,,119,0.03361344537815126
13,2023-07,2.0,2.0,2.0,60.0,60.0,119,0.01680672268907563
13,2023-08,,,,60.0,60.0,119,
13,2023-09,1.0,1.0,1.0,60.0,60.0,119,0.008403361344537815
13,2023-10,2.0,2.0,2.0,60.0,60.0,119,0.01680672268907563
13,2023-11,2.0,2.0,2.0,,,119,0.01680672268907563
13,2023-12,4.0,4.0,4.0,,,119,0.03361344537815126
14,2022-11,,,,60.0,60.0,109,
14,2022-12,,,,60.0,60.0,109,
14,2023-01,2.0,2.0,2.0,60.0,60.0,109,0.01834862385321101
14,2023-02,1.0,1.0,1.0,,,109,0.009174311926605505
14,2023-03,1.0,2.0,2.0,60.0,60.0,109,0.01834862385321101
14,2023-04,,,,60.0,60.0,109,
14,2023-05,2.0,2.0,2.0,60.0,60.0,109,0.01834862385321101
14,2023-06,5.0,6.0,6.0,,,109,0.05504587155963303
14,2023-07,1.0,1.0,1.0,60.0,60.0,109,0.009174311926605505
14,2023-09,2.0,2.0,2.0,60.0,60.0,109,0.01834862385321101
14,2023-10,,,,60.0,60.0,109,
14,2023-11,3.0,3.0,3.0,,,109,0.027522935779816515
14,2023-12,3.0,3.0,3.0,,,109,0.027522935779816515
15,2022-12,,,,60.0,60.0,124,
15,2023-01,,,,60.0,60.0,124,
15,2023-02,2.0,3.0,3.0,60.0,60.0,124,0.024193548387096774
15,2023-03,1.0,1.0,1.0,60.0,60.0,124,0.008064516129032258
15,2023-04,2.0,3.0,3.0,60.0,60.0,124,0.024193548387096774
15,2023-05,1.0,1.0,1.0,60.0,60.0,124,0.008064516129032258
15,2023-06,1.0,1.0,1.0,60.0,60.0,124,0.008064516129032258
15,2023-07,1.0,1.0,1.0,60.0,60.0,124,0.008064516129032258
15,2023-08,2.0,2.0,2.0,60.0,60.0,124,0.016129032258064516
15,2023-09,1.0,1.0,1.0,60.0,60.0,124,0.008064516129032258
15,2023-10,5.0,5.0,5.0,60.0,60.0,124,0.04032258064516129
15,2023-11,4.0,5.0,5.0,,,124,0.04032258064516129
15,2023-12,2.0,3.0,3.0,,,124,0.024193548387096774
16,2022-11,,,,60.0,60.0,36,
16,2023-01,1.0,1.0,1.0,60.0,60.0,36,0.027777777777777776
16,2023-03,1.0,1.0,1.0,60.0,60.0,36,0.027777777777777776
16,2023-04,,,,60.0,60.0,36,
16,2023-05,2.0,2.0,2.0,,,36,0.05555555555555555
16,2023-06,1.0,1.0,1.0,60.0,60.0,36,0.027777777777777776
16,2023-07,1.0,1.0,1.0,60.0,60.0,36,0.027777777777777776
16,2023-08,,,,60.0,60.0,36,
16,2023-09,1.0,1.0,1.0,60.0,60.0,36,0.027777777777777776
16,2023-10,1.0,1.0,1.0,60.0,60.0,36,0.027777777777777776
16,2023-11,3.0,4.0,4.0,,,36,0.1111111111111111
16,2023-12,2.0,2.0,2.0,,,36,0.05555555555555555
17,2022-11,,,,60.0,60.0,38,
17,2022-12,,,,60.0,60.0,38,
17,2023-01,2.0,2.0,2.0,60.0,60.0,38,0.05263157894736842
17,2023-02,2.0,2.0,2.0,,,38,0.05263157894736842
17,2023-03,4.0,4.0,4.0,60.0,60.0,38,0.10526315789473684
17,2023-05,1.0,1.0,1.0,,,38,0.02631578947368421
17,2023-07,,,,60.0,60.0,38,
17,2023-08,,,,60.0,60.0,38,
17,2023-09,1.0,1.0,1.0,,,38,0.02631578947368421
17,2023-10,3.0,3.0,3.0,60.0,60.0,38,0.07894736842105263
17,2023-11,1.0,1.0,1.0,,,38,0.02631578947368421
17,2023-12,1.0,1.0,1.0,,,38,0.02631578947368421
18,2023-03,,,,60.0,60.0,3,
18,2023-05,1.0,1.0,1.0,60.0,60.0,3,0.3333333333333333
18,2023-07,1.0,1.0,1.0,,,3,0.3333333333333333
19,2022-12,,,,60.0,60.0,31,
19,2023-01,1.0,1.0,1.0,,,31,0.03225806451612903
19,2023-08,,,,60.0,60.0,31,
19,2023-10,1.0,1.0,1.0,,,31,0.03225806451612903
2,2022-12,,,,60.0,60.0,155,
2,2023-01,1.0,1.0,1.0,60.0,60.0,155,0.0064516129032258064
2,2023-02,2.0,2.0,2.0,60.0,60.0,155,0.012903225806451613
2,2023-03,2.0,2.0,2.0,60.0,60.0,155,0.012903225806451613
2,2023-04,1.0,1.0,1.0,60.0,60.0,155,0.0064516129032258064
2,2023-05,2.0,2.0,2.0,60.0,60.0,155,0.012903225806451613
2,2023-06,4.0,4.0,4.0,60.0,60.0,155,0.025806451612903226
2,2023-07,1.0,1.0,1.0,,,155,0.0064516129032258064
2,2023-08,2.0,2.0,2.0,60.0,60.0,155,0.012903225806451613
2,2023-09,,,,60.0,60.0,155,
2,2023-10,3.0,3.0,3.0,60.0,60.0,155,0.01935483870967742
2,2023-11,2.0,2.0,2.0,,,155,0.012903225806451613
2,2023-12,1.0,2.0,2.0,,,155,0.012903225806451613
21,2023-01,,,,60.0,60.0,16,
21,2023-02,,,,60.0,60.0,16,
21,2023-03,1.0,1.0,1.0,,,16,0.0625
21,2023-04,1.0,1.0,1.0,,,16,0.0625
21,2023-06,,,,60.0,60.0,16,
21,2023-08,1.0,1.0,1.0,,,16,0.0625
22,2022-11,,,,60.0,60.0,48,
22,2023-01,1.0,1.0,1.0,60.0,60.0,48,0.020833333333333332
22,2023-03,1.0,1.0,1.0,,,48,0.020833333333333332
25,2022-12,,,,60.0,60.0,59,
25,2023-01,,,,60.0,60.0,59,
25,2023-02,1.0,2.0,2.0,,,59,0.03389830508474576
25,2023-03,1.0,1.0,1.0,,,59,0.01694915254237288
25,2023-07,,,,60.0,60.0,59,
25,2023-09,1.0,1.0,1.0,,,59,0.01694915254237288
25,2023-10,,,,60.0,60.0,59,
25,2023-11,,,,9.0,9.0,59,
25,2023-12,4.0,3.0,4.0,,,59,0.06779661016949153
26,2022-12,,,,60.0,60.0,32,
26,2023-02,2.0,3.0,3.0,,,32,0.09375
26,2023-04,,,,60.0,60.0,32,
26,2023-05,,,,60.0,60.0,32,
26,2023-06,1.0,1.0,1.0,,,32,0.03125
26,2023-07,1.0,1.0,1.0,,,32,0.03125
26,2023-09,,,,60.0,60.0,32,
26,2023-11,1.0,1.0,1.0,,,32,0.03125
27,2023-06,,,,60.0,60.0,3,
27,2023-08,1.0,1.0,1.0,,,3,0.3333333333333333
28,2022-12,,,,60.0,60.0,6,
28,2023-02,1.0,1.0,1.0,,,6,0.16666666666666666
3,2022-11,,,,60.0,60.0,71,
3,2022-12,,,,60.0,60.0,71,
3,2023-01,3.0,3.0,3.0,60.0,60.0,71,0.04225352112676056
3,2023-02,2.0,2.0,2.0,,,71,0.028169014084507043
3,2023-03,1.0,1.0,1.0,,,71,0.014084507042253521
3,2023-04,,,,60.0,60.0,71,
3,2023-06,1.0,1.0,1.0,60.0,60.0,71,0.014084507042253521
3,2023-07,,,,60.0,60.0,71,
3,2023-08,1.0,1.0,1.0,,,71,0.014084507042253521
3,2023-09,1.0,1.0,1.0,60.0,60.0,71,0.014084507042253521
3,2023-10,,,,60.0,60.0,71,
3,2023-11,3.0,3.0,3.0,,,71,0.04225352112676056
3,2023-12,2.0,2.0,2.0,,,71,0.028169014084507043
4,2022-11,,,,60.0,60.0,118,
4,2022-12,,,,60.0,60.0,118,
4,2023-01,3.0,3.0,3.0,60.0,60.0,118,0.025423728813559324
4,2023-02,5.0,6.0,6.0,35.5,55.1,118,0.05084745762711865
4,2023-03,2.0,2.0,2.0,,,118,0.01694915254237288
4,2023-04,1.0,1.0,1.0,,,118,0.00847457627118644
4,2023-05,,,,60.0,60.0,118,
4,2023-07,1.0,1.0,1.0,60.0,60.0,118,0.00847457627118644
4,2023-08,1.0,1.0,1.0,,,118,0.00847457627118644
4,2023-09,1.0,1.0,1.0,60.0,60.0,118,0.00847457627118644
4,2023-10,,,,60.0,60.0,118,
4,2023-11,1.0,1.0,1.0,,,118,0.00847457627118644
4,2023-12,2.0,2.0,2.0,,,118,0.01694915254237288
5,2022-11,,,,60.0,60.0,118,
5,2022-12,,,,60.0,60.0,118,
5,2023-01,2.0,2.0,2.0,60.0,60.0,118,0.01694915254237288
5,2023-02,1.0,1.0,1.0,,,118,0.00847457627118644
5,2023-03,1.0,1.0,1.0,,,118,0.00847457627118644
5,2023-04,,,,60.0,60.0,118,
5,2023-05,,,,60.0,60.0,118,
5,2023-06,4.0,5.0,5.0,60.0,60.0,118,0.0423728813559322
5,2023-07,1.0,1.0,1.0,,,118,0.00847457627118644
5,2023-08,1.0,1.0,1.0,60.0,60.0,118,0.00847457627118644
5,2023-09,,,,60.0,60.0,118,
5,2023-10,3.0,3.0,3.0,60.0,60.0,118,0.025423728813559324
5,2023-11,2.0,2.0,2.0,,,118,0.01694915254237288
5,2023-12,1.0,1.0,1.0,,,118,0.00847457627118644
6,2022-11,,,,60.0,60.0,78,
6,2022-12,,,,60.0,60.0,78,
6,2023-01,2.0,2.0,2.0,60.0,60.0,78,0.02564102564102564
6,2023-02,2.0,2.0,2.0,,,78,0.02564102564102564
6,2023-03,1.0,2.0,2.0,60.0,60.0,78,0.02564102564102564
6,2023-04,,,,60.0,60.0,78,
6,2023-05,3.0,3.0,3.0,60.0,60.0,78,0.038461538461538464
6,2023-06,1.0,1.0,1.0,60.0,60.0,78,0.01282051282051282
6,2023-07,1.0,1.0,1.0,60.0,60.0,78,0.01282051282051282
6,2023-08,2.0,2.0,2.0,60.0,60.0,78,0.02564102564102564
6,2023-09,2.0,2.0,2.0,60.0,60.0,78,0.02564102564102564
6,2023-10,3.0,3.0,3.0,60.0,60.0,78,0.038461538461538464
6,2023-11,2.0,2.0,2.0,,,78,0.02564102564102564
6,2023-12,3.0,3.0,3.0,,,78,0.038461538461538464
7,2022-11,,,,60.0,60.0,115,
7,2022-12,,,,60.0,60.0,115,
