stt,unnamed_1,so_bien_nhan,ngay_tiep_nhan,ngay_cap_gcn_attp,ten_co_so,dia_chi,phuong_xa,quan_huyen,ten_san_pham,tên_cơ_sở_sx,địa_chỉ_sx,phường_sx,quận_huyện_sx,so_ban_cong_bo,ngay_hoan_thanh,ket_qua,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
1,,4042225373.0,2023-03-02,2023-02-14 00:00:00,cong ty tnhh tue anh global,231-233 le thanh ton,ben thanh,1,san pham dinh duong cong thuc cho tre tu 0 thang tuoi đen 12 thang tuoi optimom,CHI NHÁNH CÔNG TY TNHH THỰC PHẨM VI NA,"Số 31 đường 121, Ấp 5",Tân Thạnh Đông,Củ Chi,1,2023-02-08,đat,cong ty tnhh tue anh global,231-233 le thanh ton,1,ben thanh
2,,,2023-02-02,2023-02-13 00:00:00,cong ty co phan thuc pham dinh duong khanh hoa,"tang 10, toa nha hoang viet, so 34 hoang viet",4,tan binh,san pham dinh duong nutrikidgrow (cho tre tu 1 - 10 tuoi),CHI NHÁNH CÔNG TY CỔ PHẦN HÀNG TIÊU DÙNG BÌNH DƯƠNG,"Lô E, Đường số 2, Khu công nghiệp Đồng An",Bình Hòa,"Thành phố Thuận An, tỉnh Bình Dương",2,2023-02-08,đat,cong ty co phan thuc pham dinh duong khanh hoa,"tang 10, toa nha hoang viet, so 34 hoang viet",tan binh,4
3,,4042227037.0,2023-06-02,2023-02-15 00:00:00,cong ty tnhh san xuat - thuong mai hi ki food,"621/2/14 khu pho 7, huong lo 2",binh tri đong,binh tan,san pham dinh duong cong thuc: gain colostrum 1+,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI HI KI FOOD,621/4/1/4 Hương lộ 2,Bình Trị Đông,Bình Tân,3,2023-02-09,đat,cong ty tnhh san xuat - thuong mai hi ki food,"621/2/14 khu pho 7, huong lo 2",binh tan,binh tri đong
4,,4042227078.0,,2023-03-08 00:00:00,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,đa kao,1,san pham banh an dam papapuffs stars,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,4,2023-03-03,,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,1,đa kao
5,,4042227076.0,,2023-03-08 00:00:00,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,đa kao,1,san pham banh an dam papapuffs rings,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,5,2023-03-03,,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,1,đa kao
6,,4042227075.0,,2023-03-08 00:00:00,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,đa kao,1,san pham banh an dam papapuffs fingers,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,6,2023-03-03,,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,1,đa kao
7,,,,2023-03-07 00:00:00,cong ty tnhh nova nutrition pharma,"so 496/63, la xuan oai",long truong,thu đuc,san pham dinh duong cong thuc cho tre tu 1-10 tuoi mendel colostrum pedia,CÔNG TY TNHH NOVA NUTRITION PHARMA,"Số 496/63, Lã Xuân Oai",Long Trường,Thủ Đức,7,2023-03-03,,cong ty tnhh nova nutrition pharma,"so 496/63, la xuan oai",thu đuc,long truong
8,,,,2023-03-08 00:00:00,cong ty tnhh nova nutrition pharma,"so 496/63, la xuan oai",long truong,thu đuc,san pham dinh duong cong thuc cho tre tu 1-15 tuoi mendel colostrum grow,CÔNG TY TNHH NOVA NUTRITION PHARMA,"Số 496/63, Lã Xuân Oai",Long Trường,Thủ Đức,8,2023-03-03,,cong ty tnhh nova nutrition pharma,"so 496/63, la xuan oai",thu đuc,long truong
9,,,,2023-03-08 00:00:00,cong ty tnhh nova nutrition pharma,"so 496/63, la xuan oai",long truong,thu đuc,san pham dinh duong cong thuc cho tre tu 0-12 thang tuoi mendel colostrum infant,CÔNG TY TNHH NOVA NUTRITION PHARMA,"Số 496/63, Lã Xuân Oai",Long Trường,Thủ Đức,9,2023-03-03,,cong ty tnhh nova nutrition pharma,"so 496/63, la xuan oai",thu đuc,long truong
10,,,,2023-03-09 00:00:00,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",phu hoa đong,cu chi,san pham dinh duong cong thuc nolan kids baby cho tre tu 0-12 thang tuoi,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM DINH DƯỠNG NUTRILAC,"472/2 Đường Nguyễn Văn Khạ, ấp Phú Hiệp",Phú Hòa Đông,Củ Chi,10,2023-03-03,,cong ty tnhh thuong mai thuc pham dinh duong xnk adp gold,"476 nguyen van kha, ap phu hiep",cu chi,phu hoa đong
