stt,unnamed_1,lĩnh_vực,so_bien_nhan,ngày_tiếp_nhận,han_tra,kêt_qua,ten_co_so,ten_chu_co_so,dia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_dau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
1,,YT,04042226949,2022-12-19,2023-01-17,,wayne's vien đong,đinh nguyen dung,tang tret (khu vuc quay bar) khach san vien đong - 275a pham ngu lao,pham ngu lao,1,,kinh doanh dich vu an uong,1,2023-01-03,,,,,,wayne's vien đong,tang tret (khu vuc quay bar) khach san vien đong - 275a pham ngu lao,1,pham ngu lao
2,,YT,04042226934,2022-12-16,2023-01-16,,cong ty co phan benh vien phu san quoc te sai gon,tran tu lien,63 bui thi xuan,pham ngu lao,1,,kinh doanh dich vu an uong,2,2023-01-03,,,,,,cong ty co phan benh vien phu san quoc te sai gon,63 bui thi xuan,1,pham ngu lao
3,,YT,04042226622,2022-12-27,2023-02-01,,cua hang so 34 - cong ty tnhh banh ngot cj viet nam,kim jae young,so 201 khanh hoi,3,4,,kinh doanh dich vu an uong,3,2023-01-03,,,,,,cua hang so 34 - cong ty tnhh banh ngot cj viet nam,so 201 khanh hoi,4,3
4,,YT,04042226844,2022-12-15,2023-01-13,,đia điem kinh doanh so 24 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,truong thi thanh huyen,491/10 nguyen van cong,3,go vap,,kinh doanh dich vu an uong,4,2023-01-03,,,,,,đia điem kinh doanh so 24 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,491/10 nguyen van cong,go vap,3
5,,YT,04042227009,2022-12-19,2023-01-17,,đia điem kinh doanh cong ty tnhh 89 home,nguyen pham anh nguyet,quay rgd 2 tang tret- trung tam thuong mai aeon - so 30 tan thang,son ky,tan phu,,kinh doanh dich vu an uong,5,2023-01-03,,,,,,đia điem kinh doanh cong ty tnhh 89 home,quay rgd 2 tang tret- trung tam thuong mai aeon - so 30 tan thang,tan phu,son ky
6,,YT,h29.24-221211-0002,2023-12-16,2023-01-30,,đia điem kinh doanh cong ty tnhh dvkd thanh đam - nha hang sabor tapas bar,tran thanh thao,114/1 - 114/2 yersin,nguyen thai binh,1,,kinh doanh dich vu an uong,6,2023-01-03,,,,,,đia điem kinh doanh cong ty tnhh dvkd thanh đam - nha hang sabor tapas bar,114/1 - 114/2 yersin,1,nguyen thai binh
7,,YT,h29.24-221215-0010,2023-12-16,2023-01-30,,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_063đth,nguyen huynh khoa,63 đinh tien hoang,đa kao,1,,kinh doanh dich vu an uong,7,2023-01-03,,,,,,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_063đth,63 đinh tien hoang,1,đa kao
8,,NN,h29.24-221208-0011,2022-12-15,2023-01-16,,cong ty tnhh mot thanh vien hoang net,,425/7 nguyen oanh,17,go vap,0313131057,"rang, xay, đong goi ca phe",8,2023-01-03,,,,,,cong ty tnhh mot thanh vien hoang net,425/7 nguyen oanh,go vap,17
9,,YT,h29.24-221214-0011,2022-12-16,2023-01-30,,chi nhanh 1 cong ty tnhh dich vu du lich da ngoai,phan chi nghia,1 phan can nha so 353 thong nhat,11,go vap,,kinh doanh dich vu an uong,9,2023-01-03,,,,,,chi nhanh 1 cong ty tnhh dich vu du lich da ngoai,1 phan can nha so 353 thong nhat,go vap,11
10,,NN,h29.24-221215-0014,2022-12-16,2023-01-16,,đia điem kinh doanh so 14 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai va đau tu k.l.e.v.e,,449 phan van tri,5,go vap,0101628217-00019,kinh doanh trai cay,10,2023-01-03,,,,,,đia điem kinh doanh so 14 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai va đau tu k.l.e.v.e,449 phan van tri,go vap,5
