stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,tinh_thanh,ten_co_so_norm,quan_huyen_norm,phuong_xa_norm,thoi_han_gcn_attp,processing_days,attp_valid
1,,YT,4042226949.0,2022-12-19,2023-01-17,,wayne's vien đong,ĐINH NGUYÊN DŨNG,Tầng trệt (khu vực quầy bar) Khách sạn Viễn Đông - 275A Phạm Ngũ Lão,pham ngu lao,1,,kinh doanh dich vu an uong,1,2023-01-03,,,,,,ho chi minh,wayne's vien đong,1,pham ngu lao,2026-01-02,15.0,True
2,,YT,4042226934.0,2022-12-16,2023-01-16,,cong ty co phan benh vien phu san quoc te sai gon,TRẦN TÚ LIÊN,63 Bùi Thị Xuân,pham ngu lao,1,,kinh doanh dich vu an uong,2,2023-01-03,,,,,,ho chi minh,cong ty co phan benh vien phu san quoc te sai gon,1,pham ngu lao,2026-01-02,18.0,True
3,,YT,4042226622.0,2022-12-27,2023-02-01,,cua hang so 34 - cong ty tnhh banh ngot cj viet nam,KIM JAE YOUNG,Số 201 Khánh Hội,3,4,,kinh doanh dich vu an uong,3,2023-01-03,,,,,,ho chi minh,cua hang so 34 - cong ty tnhh banh ngot cj viet nam,4,3,2026-01-02,7.0,True
4,,YT,4042226844.0,2022-12-15,2023-01-13,,đia điem kinh doanh so 24 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,TRƯƠNG THỊ THANH HUYỀN,491/10 Nguyễn Văn Công,3,go vap,,kinh doanh dich vu an uong,4,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh so 24 - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai dich vu taco viet nam,go vap,3,2026-01-02,19.0,True
5,,YT,4042227009.0,2022-12-19,2023-01-17,,đia điem kinh doanh cong ty tnhh 89 home,NGUYỄN PHẠM ÁNH NGUYỆT,Quầy RGD 2 tầng trệt- Trung tâm thương mại Aeon - số 30 Tân Thắng,son ky,tan phu,,kinh doanh dich vu an uong,5,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh 89 home,tan phu,son ky,2026-01-02,15.0,True
6,,YT,,2023-12-16,2023-01-30,,đia điem kinh doanh cong ty tnhh dvkd thanh đam - nha hang sabor tapas bar,TRẦN THANH THẢO,114/1 - 114/2 Yersin,nguyen thai binh,1,,kinh doanh dich vu an uong,6,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh cong ty tnhh dvkd thanh đam - nha hang sabor tapas bar,1,nguyen thai binh,2026-01-02,-347.0,True
7,,YT,,2023-12-16,2023-01-30,,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_063đth,NGUYỄN HUỲNH KHOA,63 Đinh Tiên Hoàng,đa kao,1,,kinh doanh dich vu an uong,7,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh cong ty co phan orc coffee passion group – amz_063đth,1,đa kao,2026-01-02,-347.0,True
8,,NN,,2022-12-15,2023-01-16,,cong ty tnhh mot thanh vien hoang net,,425/7 Nguyễn Oanh,17,go vap,313131057.0,"rang, xay, đong goi ca phe",8,2023-01-03,,,,,,ho chi minh,cong ty tnhh mot thanh vien hoang net,go vap,17,2026-01-02,19.0,True
9,,YT,,2022-12-16,2023-01-30,,chi nhanh 1 cong ty tnhh dich vu du lich da ngoai,PHAN CHÍ NGHĨA,1 phần căn nhà số 353 Thống Nhất,11,go vap,,kinh doanh dich vu an uong,9,2023-01-03,,,,,,ho chi minh,chi nhanh 1 cong ty tnhh dich vu du lich da ngoai,go vap,11,2026-01-02,18.0,True
10,,NN,,2022-12-16,2023-01-16,,đia điem kinh doanh so 14 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai va đau tu k.l.e.v.e,,449 Phan Văn Trị,5,go vap,,kinh doanh trai cay,10,2023-01-03,,,,,,ho chi minh,đia điem kinh doanh so 14 - klever fruit - chi nhanh tai thanh pho ho chi minh - cong ty co phan thuong mai va đau tu k.l.e.v.e,go vap,5,2026-01-02,18.0,True
