ten_ho_kinh_doanh,ten_co_so,dia_chi,so_gcn_dkkd,ngay_cap_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,xep_loai,dien_thoai,tinh_thanh,ten_co_so_norm,dia_chi_norm,ngay_tiep_nhan,thoi_han_gcn_attp,processing_days,attp_valid
Nguyễn Thành Mỹ,,đuong dt601 khu tđc h.lien2 - hoa lien,,,"san xuat cha heo, bo",,,b,905650508.0,da nang,,đuong dt601 khu tđc h.lien2 - hoa lien,,,,False
Lê Hoài Nam,cha nam suong,quan nam 3-hoa lien,,,"san xuat cha heo, bo",,,b,905953003.0,da nang,cha nam suong,quan nam 3-hoa lien,,,,False
HTX rau hoa củ quả Hòa Vang,,"trung nghia, hoa ninh, hoa vang",320607000029.0,,trong buoi da xanh,,,b,,da nang,,"trung nghia, hoa ninh, hoa vang",,,,False
HKD Khôi Nhi,nguyen thi xinh,"đai la, hoa son, hoa vang",,,san xuat dam gao,,,b,976363161.0,da nang,nguyen thi xinh,"đai la, hoa son, hoa vang",,,,False
HKD Phan Quan,phan anh quan,"20-bau cau 15, hoa chau, hoa vang",,,san xuat tre,,,b,932205329.0,da nang,phan anh quan,"20-bau cau 15, hoa chau, hoa vang",,,,False
HKD Trương Thị Bé,truong thi be,"yen ne 1-hoa tien, hoa vang",,,"san xuat cha bo, heo",,,b,935600925.0,da nang,truong thi be,"yen ne 1-hoa tien, hoa vang",,,,False
HKD Trần Hiền,tran hien,"le son nam, hoa tien, hoa vang",,,san xuat heo quay,,,b,913486959.0,da nang,tran hien,"le son nam, hoa tien, hoa vang",,,,False
HKD Nguyễn Đức Truyền,nguyen đuc truyen,"quang chau, hoa chau, hoa vang",,,"san xuat cha heo, bo",,,b,909992598.0,da nang,nguyen đuc truyen,"quang chau, hoa chau, hoa vang",,,,False
HKD Phương Đông,ta thi thanh phuon,"đong hoa, hoa chau, hoa vang",,,"cha bo, heo",,,b,796820945.0,da nang,ta thi thanh phuon,"đong hoa, hoa chau, hoa vang",,,,False
HKD Nguyễn Thị Bông,nguyen thi bong,"thach nham tay, hoa nhon, hoa vang",,,"kieu say, kieu dam",,,a,708116622.0,da nang,nguyen thi bong,"thach nham tay, hoa nhon, hoa vang",,,,False
HTX SXKD DVTMTH Kim Thanh,huynh van muoi,"to 7, tuy loan đong 2, hoa phong, hoa vang",401436837.0,,"san xuat, đong goi nam cac loai",,,b,905217507.0,da nang,huynh van muoi,"to 7, tuy loan đong 2, hoa phong, hoa vang",,,,False
HKD Quỳnh Tâm,phan van hung,"kiet 2, cam toai đong, hoa phong, hoa vang",,,"trong, đong goi cac loai nam bao ngu, linh chi, đong trung ha thao",,,b,905099181.0,da nang,phan van hung,"kiet 2, cam toai đong, hoa phong, hoa vang",,,,False
HKD Đinh Viết Hùng,đinh viet hung,"giang nam 1, hoa phuoc, hoa vang",,,san xuat cha bo,,,b,395512350.0,da nang,đinh viet hung,"giang nam 1, hoa phuoc, hoa vang",,,,False
